time_h,M_g_snec,M_g_nakar_sari,nuLnu_g_snec_erg_s,nuLnu_g_nakar_sari_erg_s,ratio_nakar_sari_to_snec
2.33338836e+00,-1.32227361e+01,-1.17413958e+01,5.31739623e+40,1.35883563e+40,2.55545303e-01
2.35005225e+00,-1.32316242e+01,-1.17478727e+01,5.36110438e+40,1.36696146e+40,2.54977588e-01
2.36670338e+00,-1.32404073e+01,-1.17542940e+01,5.40464911e+40,1.37506611e+40,2.54422828e-01
2.38334724e+00,-1.32492756e+01,-1.17606516e+01,5.44897510e+40,1.38314891e+40,2.53836527e-01
2.40010957e+00,-1.32590582e+01,-1.17670149e+01,5.49829279e+40,1.39127729e+40,2.53038050e-01
2.41668361e+00,-1.32686313e+01,-1.17732668e+01,5.54698643e+40,1.39930220e+40,2.52263498e-01
2.43342393e+00,-1.32782021e+01,-1.17795144e+01,5.59609944e+40,1.40738698e+40,2.51494277e-01
2.45010847e+00,-1.32876442e+01,-1.17857034e+01,5.64497812e+40,1.41543303e+40,2.50741988e-01
2.46673360e+00,-1.32969582e+01,-1.17918333e+01,5.69361193e+40,1.42343885e+40,2.50006300e-01
2.48342376e+00,-1.33062163e+01,-1.17979282e+01,5.74236909e+40,1.43145736e+40,2.49279930e-01
2.50002164e+00,-1.33153345e+01,-1.18039473e+01,5.79079757e+40,1.43941801e+40,2.48569907e-01
2.51675156e+00,-1.33244355e+01,-1.18099784e+01,5.83954196e+40,1.44743045e+40,2.47867121e-01
2.53338712e+00,-1.33333713e+01,-1.18159265e+01,5.88780073e+40,1.45538185e+40,2.47185989e-01
2.55005676e+00,-1.33422101e+01,-1.18218387e+01,5.93592798e+40,1.46333371e+40,2.46521473e-01
2.56668016e+00,-1.33509140e+01,-1.18277006e+01,5.98370512e+40,1.47125227e+40,2.45876467e-01
2.58339586e+00,-1.33595557e+01,-1.18335548e+01,6.03152126e+40,1.47920145e+40,2.45245168e-01
2.60001452e+00,-1.33680128e+01,-1.18393217e+01,6.07868590e+40,1.48708653e+40,2.44639475e-01
2.61668534e+00,-1.33763761e+01,-1.18450740e+01,6.12569012e+40,1.49498527e+40,2.44051730e-01
2.63344197e+00,-1.33846772e+01,-1.18508229e+01,6.17270416e+40,1.50291338e+40,2.43477306e-01
2.65008490e+00,-1.33928289e+01,-1.18564770e+01,6.21922320e+40,1.51076844e+40,2.42919154e-01
2.66674517e+00,-1.34009053e+01,-1.18621043e+01,6.26565825e+40,1.51862030e+40,2.42372028e-01
2.68343327e+00,-1.34089185e+01,-1.18677097e+01,6.31207257e+40,1.52647429e+40,2.41834084e-01
2.70003667e+00,-1.34168209e+01,-1.18732394e+01,6.35818182e+40,1.53427175e+40,2.41306681e-01
2.71666688e+00,-1.34246710e+01,-1.18787404e+01,6.40431940e+40,1.54206836e+40,2.40785674e-01
2.73344371e+00,-1.34325279e+01,-1.18842595e+01,6.45083217e+40,1.54992277e+40,2.40267105e-01
2.75000610e+00,-1.34402300e+01,-1.18896689e+01,6.49675640e+40,1.55766265e+40,2.39760052e-01
2.76668893e+00,-1.34480456e+01,-1.18950750e+01,6.54369160e+40,1.56544322e+40,2.39229371e-01
2.78333544e+00,-1.34557862e+01,-1.19004405e+01,6.59051060e+40,1.57319623e+40,2.38706273e-01
2.80003511e+00,-1.34634939e+01,-1.19057910e+01,6.63746346e+40,1.58096210e+40,2.38187692e-01
2.81677403e+00,-1.34711590e+01,-1.19111067e+01,6.68448854e+40,1.58872849e+40,2.37673904e-01
2.83342728e+00,-1.34787088e+01,-1.19163672e+01,6.73113194e+40,1.59644456e+40,2.37173269e-01
2.85000192e+00,-1.34861443e+01,-1.19215756e+01,6.77738728e+40,1.60411390e+40,2.36686179e-01
2.86668947e+00,-1.34935492e+01,-1.19267734e+01,6.82376816e+40,1.61181784e+40,2.36206419e-01
2.88344567e+00,-1.35009033e+01,-1.19319629e+01,6.87014500e+40,1.61954199e+40,2.35736217e-01
2.90001772e+00,-1.35081079e+01,-1.19370689e+01,6.91588468e+40,1.62717099e+40,2.35280238e-01
2.91675286e+00,-1.35153203e+01,-1.19421862e+01,6.96197891e+40,1.63485985e+40,2.34826889e-01
2.93339556e+00,-1.35224120e+01,-1.19472411e+01,7.00760128e+40,1.64249275e+40,2.34387301e-01
2.95006039e+00,-1.35294212e+01,-1.19522771e+01,7.05298667e+40,1.65012562e+40,2.33961257e-01
2.96674750e+00,-1.35363402e+01,-1.19572879e+01,7.09807630e+40,1.65775591e+40,2.33550026e-01
2.98334239e+00,-1.35431174e+01,-1.19622327e+01,7.14252128e+40,1.66532860e+40,2.33156967e-01
3.00008592e+00,-1.35498473e+01,-1.19671970e+01,7.18693146e+40,1.67295902e+40,2.32777929e-01
3.01674942e+00,-1.35564354e+01,-1.19721119e+01,7.23067336e+40,1.68054249e+40,2.32418532e-01
3.03334017e+00,-1.35628854e+01,-1.19769632e+01,7.27375625e+40,1.68807548e+40,2.32077543e-01
3.05008853e+00,-1.35692862e+01,-1.19818367e+01,7.31676427e+40,1.69567008e+40,2.31751361e-01
3.06676319e+00,-1.35755493e+01,-1.19866648e+01,7.35909320e+40,1.70322128e+40,2.31444450e-01
3.08337181e+00,-1.35816805e+01,-1.19914361e+01,7.40076788e+40,1.71072671e+40,2.31155298e-01
3.10003464e+00,-1.35877247e+01,-1.19961960e+01,7.44208221e+40,1.71824516e+40,2.30882314e-01
3.11675464e+00,-1.35936807e+01,-1.20009491e+01,7.48301926e+40,1.72577954e+40,2.30626099e-01
3.13343017e+00,-1.35994419e+01,-1.20056577e+01,7.52283165e+40,1.73328021e+40,2.30402631e-01
3.15008153e+00,-1.36050061e+01,-1.20103285e+01,7.56148375e+40,1.74075654e+40,2.30213619e-01
3.16674000e+00,-1.36104153e+01,-1.20149791e+01,7.59924949e+40,1.74822641e+40,2.30052508e-01
3.18343278e+00,-1.36157019e+01,-1.20196131e+01,7.63634152e+40,1.75570019e+40,2.29913786e-01
3.20005500e+00,-1.36210696e+01,-1.20241928e+01,7.67418780e+40,1.76312705e+40,2.29747707e-01
3.21670756e+00,-1.36265825e+01,-1.20287596e+01,7.71325311e+40,1.77055796e+40,2.29547499e-01
3.23337633e+00,-1.36320424e+01,-1.20333096e+01,7.75213886e+40,1.77798658e+40,2.29354325e-01
3.25005706e+00,-1.36375533e+01,-1.20378256e+01,7.79158662e+40,1.78540376e+40,2.29145083e-01
3.26675086e+00,-1.36430772e+01,-1.20423239e+01,7.83132889e+40,1.79281707e+40,2.28928844e-01
3.28334431e+00,-1.36485711e+01,-1.20467747e+01,7.87105638e+40,1.80017647e+40,2.28708370e-01
3.30006944e+00,-1.36541116e+01,-1.20512290e+01,7.91132495e+40,1.80757966e+40,2.28480018e-01
3.31668742e+00,-1.36596199e+01,-1.20556300e+01,7.95156371e+40,1.81492390e+40,2.28247419e-01
3.33339378e+00,-1.36651620e+01,-1.20600343e+01,7.99225594e+40,1.82229786e+40,2.28007946e-01
3.35007564e+00,-1.36707019e+01,-1.20644057e+01,8.03314014e+40,1.82964860e+40,2.27762565e-01
3.36673375e+00,-1.36762420e+01,-1.20687425e+01,8.07423496e+40,1.83697546e+40,2.27510776e-01
3.38337472e+00,-1.36817865e+01,-1.20730556e+01,8.11557290e+40,1.84428561e+40,2.27252671e-01
3.40000878e+00,-1.36873411e+01,-1.20773454e+01,8.15719836e+40,1.85158245e+40,2.26987548e-01
3.41675797e+00,-1.36929491e+01,-1.20816332e+01,8.19944058e+40,1.85891455e+40,2.26712363e-01
3.43340083e+00,-1.36985368e+01,-1.20858749e+01,8.24174746e+40,1.86619095e+40,2.26431465e-01
3.45006242e+00,-1.37041608e+01,-1.20901028e+01,8.28454961e+40,1.87346647e+40,2.26139810e-01
3.46675525e+00,-1.37098446e+01,-1.20943073e+01,8.32803273e+40,1.88074032e+40,2.25832484e-01
3.48337933e+00,-1.37155138e+01,-1.20984747e+01,8.37163149e+40,1.88797439e+40,2.25520484e-01
3.50005731e+00,-1.37211534e+01,-1.21026376e+01,8.41522909e+40,1.89522294e+40,2.25213469e-01
3.51666911e+00,-1.37267019e+01,-1.21067575e+01,8.45834399e+40,1.90242954e+40,2.24917494e-01
3.53343994e+00,-1.37322233e+01,-1.21108937e+01,8.50146758e+40,1.90969345e+40,2.24631034e-01
3.55002419e+00,-1.37375977e+01,-1.21149664e+01,8.54365422e+40,1.91686771e+40,2.24361574e-01
3.56677078e+00,-1.37429338e+01,-1.21190567e+01,8.58574732e+40,1.92410091e+40,2.24104069e-01
3.58343678e+00,-1.37481508e+01,-1.21231012e+01,8.62710141e+40,1.93128588e+40,2.23862661e-01
3.60000417e+00,-1.37532430e+01,-1.21271049e+01,8.66765832e+40,1.93841966e+40,2.23638218e-01
3.61670083e+00,-1.37582797e+01,-1.21311220e+01,8.70796076e+40,1.94559986e+40,2.23427725e-01
3.63341481e+00,-1.37632259e+01,-1.21351143e+01,8.74772140e+40,1.95277237e+40,2.23232117e-01
3.65001700e+00,-1.37680423e+01,-1.21390634e+01,8.78661309e+40,1.95988825e+40,2.23053893e-01
3.66669769e+00,-1.37727864e+01,-1.21430147e+01,8.82509000e+40,1.96702912e+40,2.22890545e-01
3.68333381e+00,-1.37774259e+01,-1.21469290e+01,8.86288151e+40,1.97413688e+40,2.22742105e-01
3.70004561e+00,-1.37819982e+01,-1.21508425e+01,8.90028397e+40,1.98126702e+40,2.22607169e-01
3.71672036e+00,-1.37864766e+01,-1.21547313e+01,8.93707131e+40,1.98837274e+40,2.22485943e-01
3.73336278e+00,-1.37908683e+01,-1.21585902e+01,8.97329412e+40,1.99545263e+40,2.22376822e-01
3.75009161e+00,-1.37952099e+01,-1.21624476e+01,9.00924802e+40,2.00255756e+40,2.22277992e-01
3.76667292e+00,-1.37994340e+01,-1.21662555e+01,9.04436713e+40,2.00959141e+40,2.22192596e-01
3.78333586e+00,-1.38036128e+01,-1.21700637e+01,9.07924432e+40,2.01664974e+40,2.22116474e-01
3.80007817e+00,-1.38081552e+01,-1.21738658e+01,9.11730877e+40,2.02372829e+40,2.21965532e-01
3.81667017e+00,-1.38127014e+01,-1.21776188e+01,9.15556485e+40,2.03073492e+40,2.21803346e-01
3.83334772e+00,-1.38172996e+01,-1.21813760e+01,9.19442179e+40,2.03776931e+40,2.21631045e-01
3.85001475e+00,-1.38219046e+01,-1.21851046e+01,9.23350148e+40,2.04478446e+40,2.21452768e-01
3.86668794e+00,-1.38265073e+01,-1.21888197e+01,9.27272763e+40,2.05179381e+40,2.21271873e-01
3.88336736e+00,-1.38310967e+01,-1.21925216e+01,9.31200634e+40,2.05879746e+40,2.21090642e-01
3.90004328e+00,-1.38356611e+01,-1.21962001e+01,9.35123612e+40,2.06578676e+40,2.20910554e-01
3.91671153e+00,-1.38401920e+01,-1.21998594e+01,9.39034143e+40,2.07276275e+40,2.20733481e-01
3.93337489e+00,-1.38446838e+01,-1.22035034e+01,9.42927068e+40,2.07972849e+40,2.20560907e-01
3.95003283e+00,-1.38491311e+01,-1.22071272e+01,9.46797327e+40,2.08668097e+40,2.20393627e-01
3.96668311e+00,-1.38535287e+01,-1.22107294e+01,9.50639954e+40,2.09361854e+40,2.20232542e-01
3.98343822e+00,-1.38579461e+01,-1.22143403e+01,9.54515584e+40,2.10059159e+40,2.20068863e-01
4.00007497e+00,-1.38625443e+01,-1.22179101e+01,9.58566624e+40,2.10750625e+40,2.19860174e-01
