   0.187027401E+05   0.276544640E+05  -0.143789735E+02  -0.152660649E+02  -0.149103677E+02  -0.144732763E+02  -0.141432763E+02  -0.138332763E+02  -0.160560649E+02  -0.148803677E+02  -0.146689735E+02  -0.145889735E+02  -0.144832763E+02
   0.204079921E+05   0.264184011E+05  -0.144210113E+02  -0.152878272E+02  -0.149394192E+02  -0.145202153E+02  -0.141910113E+02  -0.138818074E+02  -0.160778272E+02  -0.149094192E+02  -0.147102153E+02  -0.146310113E+02  -0.145318074E+02
   0.221045616E+05   0.252833676E+05  -0.144614750E+02  -0.153029284E+02  -0.149672017E+02  -0.145543384E+02  -0.142314750E+02  -0.139286117E+02  -0.160929284E+02  -0.149372017E+02  -0.147443384E+02  -0.146714750E+02  -0.145786117E+02
   0.238072757E+05   0.242189758E+05  -0.144983636E+02  -0.153118369E+02  -0.149917529E+02  -0.145883636E+02  -0.142716689E+02  -0.139716689E+02  -0.161051423E+02  -0.149617529E+02  -0.147750583E+02  -0.147083636E+02  -0.146183636E+02
   0.255046172E+05   0.232380994E+05  -0.145314531E+02  -0.153155501E+02  -0.150130919E+02  -0.146214531E+02  -0.143106337E+02  -0.140106337E+02  -0.161147307E+02  -0.149830919E+02  -0.148022725E+02  -0.147414531E+02  -0.146514531E+02
   0.272077968E+05   0.223419648E+05  -0.145589730E+02  -0.153194654E+02  -0.150292192E+02  -0.146489730E+02  -0.143438500E+02  -0.140487269E+02  -0.161194654E+02  -0.149992192E+02  -0.148240961E+02  -0.147689730E+02  -0.146887269E+02
   0.289091787E+05   0.215256557E+05  -0.145807963E+02  -0.153201542E+02  -0.150405395E+02  -0.146706679E+02  -0.143707963E+02  -0.140809247E+02  -0.161201542E+02  -0.150104111E+02  -0.148406679E+02  -0.147907963E+02  -0.147209247E+02
   0.306121309E+05   0.207784820E+05  -0.146035449E+02  -0.153171738E+02  -0.150529964E+02  -0.146882707E+02  -0.143935449E+02  -0.141088191E+02  -0.161171738E+02  -0.150177222E+02  -0.148582707E+02  -0.148135449E+02  -0.147488191E+02
   0.323070391E+05   0.200943017E+05  -0.146217840E+02  -0.153118530E+02  -0.150618116E+02  -0.147017978E+02  -0.144117840E+02  -0.141317702E+02  -0.161118530E+02  -0.150218254E+02  -0.148717978E+02  -0.148317840E+02  -0.147717702E+02
   0.340078750E+05   0.194650720E+05  -0.146368935E+02  -0.153037332E+02  -0.150676294E+02  -0.147168935E+02  -0.144361576E+02  -0.141561576E+02  -0.161083652E+02  -0.150229973E+02  -0.148868935E+02  -0.148515256E+02  -0.147915256E+02
   0.357161448E+05   0.188819902E+05  -0.146487091E+02  -0.152940185E+02  -0.150708329E+02  -0.147287091E+02  -0.144565853E+02  -0.141765853E+02  -0.161029567E+02  -0.150218948E+02  -0.148987091E+02  -0.148676472E+02  -0.148076472E+02
   0.374114970E+05   0.183495627E+05  -0.146638141E+02  -0.152853500E+02  -0.150715047E+02  -0.147407367E+02  -0.144738141E+02  -0.141968914E+02  -0.160922727E+02  -0.150215047E+02  -0.149076594E+02  -0.148807367E+02  -0.148268914E+02
   0.391014484E+05   0.178546458E+05  -0.146785992E+02  -0.152766218E+02  -0.150706143E+02  -0.147516030E+02  -0.144885992E+02  -0.142155954E+02  -0.160796256E+02  -0.150206143E+02  -0.149146067E+02  -0.148916030E+02  -0.148455954E+02
